epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.37397,1.2519,3.11594,1.88565,0.00333,1,0.51139,0.27407,1.49084,3.28432,1.65997,0,0,0
2,2.42376,0.79984,2.83784,1.08912,0.00333,1,0.51113,0.29376,1.38604,3.19231,1.57283,1.9901e-05,1.9901e-05,1.9901e-05
3,3.46565,0.58553,2.70217,1.03579,0.00333,1,0.66167,0.54563,1.1067,3.18977,1.22434,3.9604e-05,3.9604e-05,3.9604e-05
4,4.53914,0.78725,2.61069,1.17298,0.00333,1,0.66167,0.60379,0.68473,3.17582,0.96541,5.9109e-05,5.9109e-05,5.9109e-05
5,5.55981,0.43077,2.62955,0.92191,0.00333,1,0.57833,0.45103,0.39206,2.9629,0.88648,7.8416e-05,7.8416e-05,7.8416e-05
6,6.60031,0.45995,2.55631,1.02652,0.00333,1,0.695,0.57588,0.39315,2.88795,0.87578,9.7525e-05,9.7525e-05,9.7525e-05
7,7.60884,0.46554,2.72879,1.02726,0.00333,1,0.995,0.84559,0.32154,2.93041,0.85822,0.000116436,0.000116436,0.000116436
8,8.59419,0.4801,2.71606,1.03176,0.00333,1,0.995,0.84559,0.39503,2.91365,0.87203,0.000135149,0.000135149,0.000135149
9,9.63146,0.34011,2.37758,0.98198,0.00333,1,0.995,0.84559,0.38144,2.95194,0.88193,0.000153664,0.000153664,0.000153664
10,10.646,0.372,2.27042,0.92123,0.00333,1,0.995,0.84559,0.37531,2.93836,0.88926,0.000171981,0.000171981,0.000171981
11,11.6463,0.76386,2.30688,1.07035,0.00333,1,0.995,0.84559,0.37171,2.90016,0.89152,0.0001901,0.0001901,0.0001901
12,12.7515,0.54039,2.28521,1.01633,0.00333,1,0.995,0.84559,0.4087,2.85741,0.90687,0.000208021,0.000208021,0.000208021
13,13.7555,0.38573,2.08691,0.88946,0.00333,1,0.995,0.92029,0.46253,2.84311,0.91874,0.000225744,0.000225744,0.000225744
14,14.7646,0.33469,1.87518,1.00376,0.00333,1,0.995,0.8955,0.46256,2.82557,0.92308,0.000243269,0.000243269,0.000243269
15,15.7531,0.68616,1.94782,1.15305,0.00333,1,0.995,0.8955,0.48047,2.78553,0.9241,0.000260596,0.000260596,0.000260596
16,16.7538,0.38706,1.85625,0.9026,0.00333,1,0.995,0.8955,0.48484,2.74381,0.91197,0.000277725,0.000277725,0.000277725
17,17.7661,0.51483,1.70932,0.90763,0.00333,1,0.995,0.94504,0.43537,2.74001,0.88477,0.000294656,0.000294656,0.000294656
18,18.7399,0.40518,1.58055,0.85874,0.00333,1,0.995,0.94504,0.43537,2.74001,0.88477,0.000311389,0.000311389,0.000311389
19,19.7591,0.65778,2.03486,1.24223,0.00333,1,0.995,0.94504,0.42273,2.69715,0.86372,0.000327924,0.000327924,0.000327924
20,20.7325,0.45899,1.69707,0.81104,0.00333,1,0.995,0.94504,0.42273,2.69715,0.86372,0.000344261,0.000344261,0.000344261
21,21.7503,0.4537,1.5622,1.04659,0.00333,1,0.995,0.94504,0.38359,2.64846,0.85925,0.0003604,0.0003604,0.0003604
22,22.7667,0.61371,1.58738,1.03063,0.00333,1,0.995,0.94504,0.38359,2.64846,0.85925,0.000376341,0.000376341,0.000376341
23,23.7667,0.67849,1.52738,1.10121,0.00333,1,0.995,0.94504,0.35905,2.66934,0.87207,0.000392084,0.000392084,0.000392084
24,24.7811,0.51539,1.49093,0.90719,0.00333,1,0.995,0.94504,0.35905,2.66934,0.87207,0.000407629,0.000407629,0.000407629
25,25.9164,0.61663,1.60937,1.16041,0.00333,1,0.995,0.94504,0.37198,2.65029,0.85669,0.000422976,0.000422976,0.000422976
26,26.8964,0.61788,1.52541,1.0766,0.00333,1,0.995,0.94504,0.37198,2.65029,0.85669,0.000438125,0.000438125,0.000438125
27,27.9214,0.35317,1.29076,0.82575,0.00333,1,0.995,0.8955,0.41732,2.6448,0.85392,0.000453076,0.000453076,0.000453076
